Question,Perturbed,Expected_answer
I'm so tired,I'm so really tired,Negative
I'm really hungry,I'm really very hungry,Neutral
I'm not sure if I'm up for that,I'm not sure if I'm really up for that,Neutral
I'm not sure if I can make it to the event,I'm not sure if I can make it to the planned event,Neutral
I'm feeling a bit confused right now,Currently I'm feeling a bit confused right now,Neutral
I'm not sure what to do with my spare time,I'm sublimely not sure what to do with my spare time,Neutral
I'm not sure what to do with my weekend,I'm not sure what to do with my available weekend,Neutral
I'm enjoying this relaxing day at home,I'm enjoying this joyful relaxing day at home,Positive
I love going on adventures and exploring new things,I love going on interesting adventures and exploring new things,Positive
I'm so stressed out about my financial situation,I'm so stressed out about my current financial situation,Negative
I love my new dress that I got on sale for only $50!,I love my new lovely dress that I got on sale for only $ 50 !,Positive
I just booked a trip to Italy and I'm so excited!,I just booked a pink-slipped trip to Italy and I 'm so excited !,Positive
I'm so grateful for my health and fitness journey - I've lost 20 pounds!,I'm so grateful for my successful health and fitness journey - I've lost 20 pounds !,Positive
I'm not sure how I feel about this,I'm not sure how I really feel about this,Neutral
The price is a bit high,The unornamented price is a bit high,Neutral
The weather is perfect today,The weather is super perfect today,Positive
The view from here is breathtaking,The view from here is fretfully breathtaking,Positive
The internet speed is slow,The internet speed is contemptuously slow,Negative
The noise level is too high,The calyptrate noise level is too high,Negative
The quality of the product is poor,The coexisting quality of the product is poor,Negative
The scenery here is beautiful,The scenery here is truly beautiful,Positive
The noise level is tolerable,The noise level is generally tolerable,Neutral
The traffic is light,The traffic is fairly light,Positive
The view from here is average,The view from here is somewhat average,Neutral
This software is difficult to use,This software is incredibly difficult to use,Negative
I'm not sure what to think about this,I'm not sure what to really think about this,Neutral
The scenery here is average,The scenery here is rather average,Neutral
I have no strong feelings about this,I have no strong personal feelings about this,Neutral
The traffic is moderate,The traffic is relatively moderate,Neutral
The view from here is stunning,The view from here is absolutely stunning,Positive
This software is very complicated,This software is extremely complicated,Negative
The car is not reliable,The car is not particularly reliable,Negative
The scenery here is breathtaking,The scenery here is absolutely breathtaking,Positive
I'm not happy with this product,I'm not happy with this particular product,Negative
The weather is nice today,The weather is quite nice today,Positive
I'm not sure if I want to pursue this,I'm not sure if I really want to pursue this,Neutral
This phone is just okay,This phone is just barely okay,Neutral
The traffic is heavy,The traffic is extremely heavy,Negative
The view from here is unremarkable,The view from here is rather unremarkable,Neutral
I have no strong opinion on this,I have no strong personal opinion on this,Neutral
The car is expensive,The car is surprisingly expensive,Negative
The scenery here is unimpressive,The scenery here is fairly unimpressive,Neutral
This company is awful,This company is absolutely awful,Negative
I'm very unhappy with this product,I'm very deeply unhappy with this product,Negative
The weather is awful today,The weather is truly awful today,Negative
I'm not interested in this topic,I'm not interested in this specific topic,Neutral
This is a useless product,This is a completely useless product,Negative
The traffic is unbearable,The traffic is totally unbearable,Negative
The view from here is unappealing,The view from here is quite unappealing,Negative
The car is old and unreliable,The car is quite old and unreliable.,Negative
