Question,Perturbed,Expected_answer
Are you likely to find a crucifix in Karachi?,Are you likely to find quickly a crucifix in Karachi ?,No
"Could the main character of ""Alice's Adventures in Wonderland"" join a Masonic Lodge?","Could the main character of ""Alice's Adventures in Wonderland"" join a Masonic Lodge completely?",No
Are Sable's a good choice of Mustelidae to weigh down a scale?,Are Sable's a good perfect choice of Mustelidae to weigh down a scale?,No
Is Romeo and Juliet an unusual title to teach high schoolers?,Is Romeo and Juliet an unusual weird title to teach high schoolers?,No
Do Windows or Android smartphones run newer versions of Linux?,Do Windows or Android smartphones run much newer versions of Linux?,No
Did the Eastern Orthodox Church and the Byzantine Empire ever use the same calendar?,Did the Eastern Orthodox Church and the Byzantine Empire ever use specifically the same calendar?,Yes
Would it be difficult to host Stanley Cup Finals at Rock in Rio?,Would it be really difficult to host Stanley Cup Finals at Rock in Rio?,Yes
Is Mickey Mouse hypothetically unlikely to make a purchase at Zazzle?,Is Mickey Mouse hypothetically unlikely impossible to make a purchase at Zazzle?,Yes
Would it be common to find a penguin in Miami?,Would it be common to find a penguin in Miami quickly?,No
Did Immanuel Kant ever meet the 14th president of the United States?,Did Immanuel Kant ever specifically meet the 14th president of the United States?,No
Is the current Chief Justice of the United States forbidden from buying alcohol?,Is the current Chief Justice of the United States forbidden fully from buying alcohol?,No
Would most school children in New York be wearing jackets on groundhog day?,Would most young school children in New York be wearing jackets on groundhog day?,Yes
Could modern Brazilian Navy have hypothetically turned the tide in Battle of Actium?,Could new modern Brazilian Navy have hypothetically turned the tide in Battle of Actium?,Yes
Did US President during Spanish-American War suffer similar demise to Abraham Lincoln?,Did US President during Spanish-American War similarly suffer similar demise to Abraham Lincoln?,Yes
Is it safe to use Ammonia with Clorox?,Is it really safe to use Ammonia with Clorox?,No
Can the Communist Party of the Soviet Union get a perfect all kill?,Can the Communist Party of the Soviet Union get a completely perfect all kill?,No
Can Centurylink max internet plan upload 1000GB in a fortnight?,Can Centurylink max internet plan upload successfully 1000GB in a fortnight?,Yes
Did Solomon make up bigger percentage of Islamic prophets than Kings of Judah?,Did Solomon make up completely bigger percentage of Islamic prophets than Kings of Judah?,No
Would East India Company prefer China's modern trade?,Would East India Company preferably prefer China's modern trade?,No
Will a celibate cleric likely suffer a stoning in Somalia?,"In Somalia, will a celibate cleric likely suffer a harsh stoning?",No
Could one Amazon share ever buy twenty year Netflix subscription?,Could one single Amazon share ever buy twenty year Netflix subscription?,Yes
Would an adherent of Zoroastrianism consult the Quran for religious guidance?,Would an adherent of traditional Zoroastrianism consult the Quran for religious guidance?,No
Would many meals heavy in brussels sprouts benefit someone on Coumadin?,Would many typical meals heavy in brussels sprouts benefit someone on Coumadin?,No
"Would the fastest tortoise win a race against a Chicago ""L""?","Would the fastest speedy tortoise win a race against a Chicago ""L""?",No
"Does Orange County, California require airplanes to be quiet?","Does Orange County, California require airplanes to be really quiet?",Yes
Is Nine Inch Nails a good guest for students in earliest grade to take Iowa tests?,Is Nine Inch Nails a good guest for students in earliest school grade to take Iowa tests?,No
Can an anchovy born in 2020 survive 25th US census?,Can an anchovy born in 2020 actually survive 25th US census?,No
Does USA fail separation of church and state in multiple ways?,Does USA truly fail separation of church and state in multiple ways?,Yes
